City,Locality,Longitude,Latitude,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Price range,Aggregate rating,Votes,Successful
Agra,Agra Cantt,77.56519527499998,28.271777325000002,"North Indian, Mughlai",850,Indian Rupees(Rs.),0,0.0,3.0,3.9,140,0
Agra,Agra Cantt,76.81895847500002,28.271777325000002,"North Indian, Mughlai",700,Indian Rupees(Rs.),0,0.0,2.0,3.5,71,0
Agra,Agra Cantt,77.56519527499998,28.271777325000002,North Indian,500,Indian Rupees(Rs.),0,0.0,2.0,3.6,94,0
Agra,Civil Lines,77.56519527499998,28.271777325000002,Rajasthani,400,Indian Rupees(Rs.),0,0.0,2.0,4.0,87,0
Agra,Civil Lines,77.56519527499998,28.271777325000002,"North Indian, Chinese, Mughlai",1000,Indian Rupees(Rs.),0,0.0,3.0,4.2,177,0
Agra,"Courtyard by Marriott Agra, Tajganj",76.81895847500002,28.271777325000002,"North Indian, European",1300,Indian Rupees(Rs.),0,0.0,3.5,4.0,45,0
Agra,"ITC Mughal, Tajganj",77.56519527499998,28.271777325000002,"North Indian, Mughlai",1300,Indian Rupees(Rs.),0,0.0,3.5,4.3,133,0
Agra,"ITC Mughal, Tajganj",77.56519527499998,28.271777325000002,Mughlai,1300,Indian Rupees(Rs.),0,0.0,3.5,4.0,41,0
Agra,Khandari,76.81895847500002,28.271777325000002,"Rajasthani, Gujarati, Mughlai",800,Indian Rupees(Rs.),0,0.0,3.0,3.6,59,0
Agra,"Radisson Blu, Tajganj",77.56519527499998,28.271777325000002,"North Indian, Mughlai",1300,Indian Rupees(Rs.),0,0.0,3.5,3.8,46,0
Agra,"Radisson Blu, Tajganj",77.56519527499998,28.271777325000002,"North Indian, Chinese, Continental",0,Indian Rupees(Rs.),0,0.0,1.0,3.9,103,0
Agra,Rakabganj,77.56519527499998,28.271777325000002,"South Indian, Desserts",550,Indian Rupees(Rs.),0,0.0,2.0,4.1,121,0
Agra,Tajganj,77.56519527499998,28.271777325000002,"North Indian, Chinese, Continental, Mughlai",1100,Indian Rupees(Rs.),0,0.0,3.0,3.4,70,0
Agra,Tajganj,77.56519527499998,28.271777325000002,"Cafe, North Indian, Chinese",0,Indian Rupees(Rs.),0,0.0,1.0,4.9,77,0
Agra,Tajganj,76.81895847500002,28.271777325000002,"North Indian, Chinese, Continental",1300,Indian Rupees(Rs.),0,0.0,3.5,3.8,57,0
Agra,Tajganj,76.81895847500002,28.271777325000002,"Cafe, Italian, Mexican, North Indian, Continental",0,Indian Rupees(Rs.),0,0.0,1.0,3.9,98,0
Agra,Tajganj,77.56519527499998,28.271777325000002,"North Indian, Mughlai",900,Indian Rupees(Rs.),0,0.0,3.0,3.7,175,0
Agra,Tajganj,77.56519527499998,28.271777325000002,"Italian, Pizza",700,Indian Rupees(Rs.),0,0.0,2.0,4.4,134,0
Agra,Tajganj,76.81895847500002,28.271777325000002,"Chinese, Italian, Continental, North Indian",1000,Indian Rupees(Rs.),0,0.0,3.0,4.2,166,0
Agra,Tajganj,77.56519527499998,28.271777325000002,"North Indian, Fast Food",700,Indian Rupees(Rs.),0,0.0,2.0,4.1,168,0
Ahmedabad,Ambavadi,76.81895847500002,28.271777325000002,"Chinese, Italian, North Indian, Mexican, Mediterranean, Thai",900,Indian Rupees(Rs.),0,0.0,3.0,4.2,244,0
Ahmedabad,Ashram Road,76.81895847500002,28.271777325000002,"Continental, Chinese, North Indian",1300,Indian Rupees(Rs.),0,0.0,3.5,3.7,244,0
Ahmedabad,Bodakdev,76.81895847500002,28.271777325000002,"Ice Cream, Desserts, Continental",300,Indian Rupees(Rs.),0,1.0,1.0,4.5,217,0
Ahmedabad,Bodakdev,76.81895847500002,28.271777325000002,"North Indian, Continental, Mexican, Italian",800,Indian Rupees(Rs.),0,0.0,3.0,4.1,244,0
Ahmedabad,Bodakdev,76.81895847500002,28.271777325000002,"Pizza, Italian, Beverages, Desserts",900,Indian Rupees(Rs.),0,1.0,3.0,4.3,244,0
Ahmedabad,Bodakdev,76.81895847500002,28.271777325000002,"Pizza, Italian",500,Indian Rupees(Rs.),0,1.0,2.0,4.4,113,0
Ahmedabad,Bodakdev,76.81895847500002,28.271777325000002,"Cafe, Continental, Desserts",1000,Indian Rupees(Rs.),0,1.0,3.0,4.4,244,0
Ahmedabad,C G Road,76.81895847500002,28.271777325000002,"North Indian, Cafe, Italian, Mexican, Continental",1000,Indian Rupees(Rs.),0,1.0,3.0,3.8,63,0
Ahmedabad,"Courtyard By Marriott, Satellite",76.81895847500002,28.271777325000002,"North Indian, South Indian, Asian, Continental",1300,Indian Rupees(Rs.),0,0.0,3.0,3.6,244,0
Ahmedabad,Ellis Bridge,76.81895847500002,28.271777325000002,"Desserts, Ice Cream",350,Indian Rupees(Rs.),0,0.0,2.0,4.6,166,0
Ahmedabad,Ellis Bridge,76.81895847500002,28.271777325000002,"Fast Food, Street Food, South Indian",450,Indian Rupees(Rs.),0,0.0,2.0,4.4,244,0
Ahmedabad,Ghatlodia,76.81895847500002,28.271777325000002,"North Indian, Chinese, Continental",900,Indian Rupees(Rs.),0,0.0,3.0,4.3,244,0
Ahmedabad,Gurukul,76.81895847500002,28.271777325000002,"North Indian, Chinese, Continental, Desserts, Fast Food, Sandwich",600,Indian Rupees(Rs.),0,1.0,2.0,3.8,244,0
Ahmedabad,Gurukul,76.81895847500002,28.271777325000002,"Italian, Fast Food",700,Indian Rupees(Rs.),0,1.0,2.0,4.3,244,0
Ahmedabad,Navrangpura,76.81895847500002,28.271777325000002,"Cafe, Beverages, Desserts, Pizza",700,Indian Rupees(Rs.),0,1.0,2.0,4.0,244,0
Ahmedabad,Navrangpura,76.81895847500002,28.271777325000002,"Cafe, Italian",600,Indian Rupees(Rs.),0,1.0,2.0,4.4,244,0
Ahmedabad,Prahlad Nagar,76.81895847500002,28.271777325000002,"North Indian, Continental, Beverages, Italian, Burger, Healthy Food, Mediterranean",950,Indian Rupees(Rs.),0,1.0,3.0,4.5,244,0
Ahmedabad,Thaltej,76.81895847500002,28.271777325000002,"Continental, Italian, Chinese",1200,Indian Rupees(Rs.),0,0.0,3.0,4.1,244,0
Ahmedabad,"The Fern, Sola",76.81895847500002,28.271777325000002,"North Indian, Italian, Asian, South Indian",1200,Indian Rupees(Rs.),0,0.0,3.0,4.1,192,0
Ahmedabad,Vastrapur,76.81895847500002,28.271777325000002,"Cafe, American, Continental, Armenian, Fast Food",550,Indian Rupees(Rs.),0,1.0,2.0,3.9,166,0
Ahmedabad,Vastrapur,76.81895847500002,28.271777325000002,Continental,1200,Indian Rupees(Rs.),0,0.0,3.0,4.0,244,0
Allahabad,Civil Lines,77.56519527499998,28.271777325000002,"North Indian, South Indian, Fast Food",500,Indian Rupees(Rs.),0,0.0,3.0,3.4,57,0
Allahabad,Civil Lines,77.56519527499998,28.271777325000002,"Cafe, Fast Food",350,Indian Rupees(Rs.),0,0.0,2.0,3.3,76,0
Allahabad,Civil Lines,77.56519527499998,28.271777325000002,"North Indian, Street Food, Fast Food",500,Indian Rupees(Rs.),0,0.0,3.0,3.2,51,0
Allahabad,Civil Lines,76.81895847500002,28.271777325000002,"North Indian, Chinese",600,Indian Rupees(Rs.),0,0.0,3.0,3.4,99,0
Allahabad,Civil Lines,77.56519527499998,28.271777325000002,"North Indian, Chinese",600,Indian Rupees(Rs.),0,0.0,3.0,3.4,83,0
Allahabad,Civil Lines,76.81895847500002,28.271777325000002,"North Indian, South Indian, Chinese",600,Indian Rupees(Rs.),0,0.0,3.0,3.4,18,0
Allahabad,Civil Lines,77.56519527499998,28.271777325000002,"American, Fast Food",500,Indian Rupees(Rs.),0,0.0,3.0,3.4,58,0
Allahabad,Civil Lines,77.56519527499998,28.271777325000002,Fast Food,400,Indian Rupees(Rs.),0,0.0,2.0,3.3,53,0
Allahabad,Civil Lines,76.81895847500002,28.271777325000002,"North Indian, Mughlai",800,Indian Rupees(Rs.),0,0.0,3.0,3.2,6,0
Allahabad,Civil Lines,76.81895847500002,28.271777325000002,"Italian, Pizza",700,Indian Rupees(Rs.),0,0.0,3.0,3.4,35,0
Allahabad,Civil Lines,76.81895847500002,28.271777325000002,"Fast Food, American, Salad, Healthy Food",400,Indian Rupees(Rs.),0,0.0,2.0,3.4,32,0
Allahabad,Civil Lines,77.56519527499998,28.271777325000002,"North Indian, Chinese",500,Indian Rupees(Rs.),0,0.0,3.0,3.2,151,0
Allahabad,Civil Lines,77.56519527499998,28.271777325000002,"North Indian, Chinese, Italian",0,Indian Rupees(Rs.),0,0.0,1.0,3.3,49,0
Allahabad,Civil Lines,77.56519527499998,28.271777325000002,"South Indian, Chinese",500,Indian Rupees(Rs.),0,0.0,3.0,3.4,106,0
Allahabad,Civil Lines,77.56519527499998,28.271777325000002,"Continental, Italian",1000,Indian Rupees(Rs.),0,0.0,3.5,3.6,59,0
Allahabad,Civil Lines,77.56519527499998,28.271777325000002,North Indian,200,Indian Rupees(Rs.),0,0.0,1.0,3.7,105,0
Allahabad,Civil Lines,77.56519527499998,28.271777325000002,"North Indian, Fast Food",500,Indian Rupees(Rs.),0,0.0,3.0,3.5,105,0
Allahabad,Civil Lines,77.56519527499998,28.271777325000002,"Desserts, Fast Food",500,Indian Rupees(Rs.),0,0.0,3.0,3.6,57,0
Allahabad,Tagore Town,77.56519527499998,28.271777325000002,"South Indian, North Indian, Chinese, Continental",400,Indian Rupees(Rs.),0,0.0,2.0,3.5,134,0
Allahabad,"Vinayak City Centre Mall, Civil Lines",77.56519527499998,28.271777325000002,"Mughlai, North Indian, Chinese",800,Indian Rupees(Rs.),0,0.0,3.0,3.3,58,0
Amritsar,Basant Nagar,76.81895847500002,28.857504925,"North Indian, Chinese",700,Indian Rupees(Rs.),0,0.0,2.0,3.4,244,0
Amritsar,Basant Nagar,76.81895847500002,28.857504925,North Indian,300,Indian Rupees(Rs.),0,0.0,1.0,3.9,151,0
